empty,title,description,price,category,subcategory,subsubcategory,condition,gender,size,brand,images,id,sold
,Such mich Buch,"Sehr süßes Buch, in dem man viele Tiere (auch mal etwas außergewöhnliche wie z.B. einen Marder) entdecken und suchen kann. Gebrauchsspuren",0.5,Bücher,Bücher für Kleinkinder (2-3 Jahre),,Gebraucht,,,,2737080_280_19859211d1879761b0f6ccb6255390b2.JPEG,3579889,
,Ich bin jetzt ein großer Bruder,"Sichtbare Gebrauchsspuren, da am Einband an einer Ecke der Druck abgerissen ist. Auch innen die Ecken etwas abgenutzt.",0.5,Bücher,Bücher für Kleinkinder (2-3 Jahre),,Gebraucht,,,,2737068_598_9ee7b1dcd33114890ac0ecee621bbf76.JPEG,3579891,
,"Vom kleinen Maulwerf, der wissen wollte, wer ihm auf den Kopf gemacht hat",normale Gebrauchsspuren,1,Bücher,Bücher für Kleinkinder (2-3 Jahre),,Gebraucht,,,,2736708_634_bfaa689a19ec92a9db69e1e1bcb158b3.JPEG,3579892,
,"Schönes, nicht zu überladenes Bilderbuch",leichte Gebrauchsspuren,0.5,Bücher,Babybücher (0-2 Jahre),,Gebraucht,,,,2736694_955_8f146f7e5d84192ec8b351da84cb304f.JPEG,3482628,sold
,Hape Bausteine zum Schrauben,"an den Kanten ist teilweise der Lack etwas ab, die schlimmste Stelle habe ich fotografiert",1.5,Spiel & Spaß,Baby,Holzspielzeug,Gebraucht,,,,"2736451_78_4fb0df7a619f96ce2ed9697a3143b453.JPEG, 2736451_494_0d6d8e2e1de61fb94fa5122cbd713f8a.JPEG",3579894,
,Holz Arche mit Tiere und eingebautem Puzzlespiel,"sehr guter Zustand, da wir zur Taufe zwei bekommen haben und diese kaum benutzt wurde",4.5,Spiel & Spaß,Baby,Holzspielzeug,Gebraucht,,,,2736443_562_dfdec5a9ed3f89b1a4fc51f2e46b7b6e.JPEG,3579895,
,Neu & unbenutzt Paw Patrol Puzzle 2 x 24 Teile,"Neues Paw Patrol Puzzle
2x24 Teile",3,Spiel & Spaß,Puzzle,Ab 4,Neu,,,,2735914_552_93c1ea1a50774cf2c017f2a91b36bae4.jpeg,3579896,
,Black Box Puzzle Gradient 1000 Teile,"Black Box Puzzle ohne Bild auf der Box (über einen QR Code kann man sich Hinweise geben lassen). Neuwertiger Zustand, nur einmal gelegt. Foto ist von hinten, damit das Motiv eine Überraschung bleibt, aber man sehen kann, dass es komplett ist. ",5,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,"IMG_2844.JPEG, IMG_2845.JPEG, IMG_2071.JPEG",3580039,
,Black Box Puzzle Pflanzen 1000 Teile,"Black Box Puzzle ohne Bild auf der Box (über einen QR Code kann man sich Hinweise geben lassen). Neuwertiger Zustand, nur einmal gelegt. Foto ist von hinten, damit das Motiv eine Überraschung bleibt, aber man sehen kann, dass es komplett ist. ",5,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,"IMG_2842.JPEG, IMG_2843.JPEG, IMG_2792.JPEG",3580040,
,Puzzle 1000 Teile 'Der Kuß' Gustav Klimt,"Wunderschönes Kunst Puzzle mit dem berühmten Gemälde von Gustav Klimt. Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,IMG_2695.JPEG,3580043,
,Puzzle 1000 Teile Löwe,"Wunderschönes Puzzle von einem Löwen, tolle Farben, ziemlich schwierig :-) Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,IMG_2696.JPEG,3580044,
,Lustiges Puzzle mit Vögeln 500 Teile,"Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 5,Neuwertig,,,,IMG_2697.JPEG,3580045,
,Hochwertiges Galison Puzzle 'Spring Street' 1000 Teile,"Sehr schön illustriertes Puzzle von Galison. Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,IMG_2699.JPEG,3580047,
,Puzzle 1000 Teile Flamingos,"Lustiges Puzzle, nicht sehr schwierig. vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,IMG_2701.JPEG,3580048,
,Puzzle 1000 Teile Thomas Kinkade,"Sehr schönes Landschaftsbild von Thomas Kinkade, nicht zu schwierig. Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,IMG_2702.JPEG,3580052,
,Puzzle 500 Teile Postkarte aus New York,"Eines der berühmtes Postkarten Puzzles. Nur einmal gepuzzelt, vollständig, tierfreier Nichtraucherhaushalt",5,Spiel & Spaß,Puzzle,Ab 5,Neuwertig,,,,"IMG_2846.JPEG, IMG_2793.JPEG",3580055,
,Puzzle Lamas 1000 Teile,"Neuwertiger Zustand, vollständig, keine Mängel",4,Spiel & Spaß,Puzzle,Ab 1000 Teile,Neuwertig,,,,"IMG_2834.JPEG,IMG_2833.JPEG, IMG_2834.JPEG",3580056,
,500 Teile Puzzle Brücke,"Neuwertiger Zustand, nur einmal gepuzzelt, vollständig, keine Mängel",5,Spiel & Spaß,Puzzle,Ab 5,Neuwertig,,,,IMG_2847.JPEG,3580057,
